+-----------------+--------+-----+-----+--------+-------+----------------+-------------------+---------------------+-------------+----------------------------+
| Model           | Layers | M   | N   | Lambda | Noise | Train time (s) | GPU mem mean (MB) | GPU mem median (MB) | Mem samples | Timestamp                  |
| lista           | 16     | 5   | 10  | 0.005  | 0.0   | 6.06           |                   |                     | 0           | 2026-05-10T12:13:41.520852 |
| lista           | 16     | 5   | 10  | 0.005  | 0.0   | 6.28           |                   |                     | 0           | 2026-05-10T16:00:15.104705 |
| lista           | 2      | 25  | 50  | 0.005  | 0.0   | 1.49           |                   |                     | 0           | 2026-05-07T15:24:43.999044 |
| lista           | 2      | 25  | 50  | 0.005  | 0.1   | 351.22         |                   |                     | 0           | 2026-05-07T15:39:46.843798 |
| lista           | 2      | 25  | 50  | 0.005  | 0.1   | 325.65         |                   |                     | 0           | 2026-05-07T17:35:58.728751 |
| lista           | 2      | 25  | 50  | 0.005  | 0.15  | 366.28         | 7813.2            | 7874.0              | 36          | 2026-05-07T22:39:07.451285 |
| lista           | 2      | 25  | 50  | 0.005  | 0.15  | 1.34           |                   |                     | 0           | 2026-05-08T00:40:55.686463 |
| lista           | 2      | 25  | 50  | 0.005  | 0.15  | 3.17           |                   |                     | 0           | 2026-05-08T10:21:30.497918 |
| lista           | 4      | 25  | 50  | 0.005  | 0.0   | 1.68           |                   |                     | 0           | 2026-05-07T15:24:59.042782 |
| lista           | 4      | 25  | 50  | 0.005  | 0.1   | 1027.37        |                   |                     | 0           | 2026-05-07T18:05:16.350029 |
| lista           | 4      | 25  | 50  | 0.005  | 0.15  | 1037.36        | 7763.0            | 7770.0              | 103         | 2026-05-07T23:08:17.964391 |
| lista           | 4      | 25  | 50  | 0.005  | 0.15  | 1.71           |                   |                     | 0           | 2026-05-08T00:41:11.017411 |
| lista           | 4      | 25  | 50  | 0.005  | 0.15  | 1.82           |                   |                     | 0           | 2026-05-08T10:21:47.266162 |
| lista           | 8      | 25  | 50  | 0.005  | 0.1   | 3264.79        |                   |                     | 0           | 2026-05-07T19:54:28.608786 |
| lista           | 8      | 25  | 50  | 0.005  | 0.15  | 1035.65        | 7931.0            | 7925.0              | 103         | 2026-05-08T10:39:19.417970 |
| lista           | 16     | 25  | 50  | 0.005  | 0.15  | 9654.41        | 7700.9            | 7734.0              | 961         | 2026-05-08T15:20:06.634159 |
| lista           | 16     | 25  | 50  | 0.005  | 0.0   | 10972.33       | 7762.3            | 7726.0              | 1092        | 2026-05-09T14:38:44.224463 |
| lista           | 16     | 25  | 50  | 0.005  | 0.0   | 8.43           |                   |                     | 0           | 2026-05-09T16:45:49.157355 |
| lista           | 16     | 25  | 50  | 0.005  | 0.0   | 6.31           |                   |                     | 0           | 2026-05-09T16:48:46.871691 |
+-----------------+--------+-----+-----+--------+-------+----------------+-------------------+---------------------+-------------+----------------------------+
